month,agent,total.mobile-app,total.desktop,total.mobile-web
2016-01-01T00:00:00.000Z,user,1759856,196816749,98168378
2016-01-01T00:00:00.000Z,spider,,58310694,12577958
2016-02-01T00:00:00.000Z,user,1543396,174730678,86960583
2016-02-01T00:00:00.000Z,spider,,74695761,10822870
2016-03-01T00:00:00.000Z,user,1791957,172638154,94800033
2016-03-01T00:00:00.000Z,spider,,61811847,10130841
2016-04-01T00:00:00.000Z,user,1312990,165756201,88299617
2016-04-01T00:00:00.000Z,spider,,51010667,7182050
2016-05-01T00:00:00.000Z,user,1627109,164796775,89380771
2016-05-01T00:00:00.000Z,spider,,54792139,6318097
2016-06-01T00:00:00.000Z,user,1500321,157974427,83655760
2016-06-01T00:00:00.000Z,spider,,53531027,6312815
2016-07-01T00:00:00.000Z,user,1493517,124565150,79725989
2016-07-01T00:00:00.000Z,spider,,54299547,8537641
2016-08-01T00:00:00.000Z,user,1443652,128862113,81532692
2016-08-01T00:00:00.000Z,spider,,52703228,8982270
2016-09-01T00:00:00.000Z,user,1312966,141919497,85541203
2016-09-01T00:00:00.000Z,spider,,51467105,10646333
2016-10-01T00:00:00.000Z,user,1316780,192300483,99737079
2016-10-01T00:00:00.000Z,spider,,51486269,8213342
2016-11-01T00:00:00.000Z,user,1429112,169772584,106587478
2016-11-01T00:00:00.000Z,spider,,57152922,8400000
2016-12-01T00:00:00.000Z,user,1604105,157335505,102119201
2016-12-01T00:00:00.000Z,spider,,50485881,8133270
2017-01-01T00:00:00.000Z,user,2127587,181108958,117961494
2017-01-01T00:00:00.000Z,spider,,42957126,6918971
2017-02-01T00:00:00.000Z,user,2439855,155462821,106335204
2017-02-01T00:00:00.000Z,spider,,39743685,6779053
2017-03-01T00:00:00.000Z,user,2072316,161447057,111912777
2017-03-01T00:00:00.000Z,spider,,63490858,11015301
2017-04-01T00:00:00.000Z,user,1771197,143097152,106765312
2017-04-01T00:00:00.000Z,spider,,50108910,8760822
2017-05-01T00:00:00.000Z,user,1773347,156238085,107559468
2017-05-01T00:00:00.000Z,spider,,50869934,8616688
2017-06-01T00:00:00.000Z,user,1586418,133774355,92772206
2017-06-01T00:00:00.000Z,spider,,39633897,5501900
2017-07-01T00:00:00.000Z,user,1631587,113148495,91315344
2017-07-01T00:00:00.000Z,spider,,34417497,3488576
2017-08-01T00:00:00.000Z,user,1720335,112889854,95340962
2017-08-01T00:00:00.000Z,spider,,35329793,3876454
2017-09-01T00:00:00.000Z,user,1706326,118663061,103683051
2017-09-01T00:00:00.000Z,spider,,36060201,3056471
2017-10-01T00:00:00.000Z,user,1821958,133576470,111723321
2017-10-01T00:00:00.000Z,spider,,36676609,3146144
2017-11-01T00:00:00.000Z,user,1882195,140294488,116665281
2017-11-01T00:00:00.000Z,spider,,38767154,3791306
2017-12-01T00:00:00.000Z,user,1854788,125339282,112314801
2017-12-01T00:00:00.000Z,spider,,38061490,4649425
2018-01-01T00:00:00.000Z,user,2053685,154295776,137416916
2018-01-01T00:00:00.000Z,spider,,43102042,4158411
2018-02-01T00:00:00.000Z,user,1826317,127831742,119816913
2018-02-01T00:00:00.000Z,spider,,33142053,5361626
2018-03-01T00:00:00.000Z,user,1892712,132219986,125477591
2018-03-01T00:00:00.000Z,spider,,40626673,7576284
2018-04-01T00:00:00.000Z,user,1764234,148741867,115601117
2018-04-01T00:00:00.000Z,spider,,35457081,7909607
2018-05-01T00:00:00.000Z,user,1858167,128718846,126064108
2018-05-01T00:00:00.000Z,spider,,41598540,9111545
2018-06-01T00:00:00.000Z,user,1782907,118291208,119849341
2018-06-01T00:00:00.000Z,spider,,35761254,8869567
2018-07-01T00:00:00.000Z,user,1937752,106096498,123473613
2018-07-01T00:00:00.000Z,spider,,34393745,7785797
2018-08-01T00:00:00.000Z,user,1938094,98279142,116821677
2018-08-01T00:00:00.000Z,spider,,37371549,10301872
2018-09-01T00:00:00.000Z,user,1843798,106280603,119589658
2018-09-01T00:00:00.000Z,spider,,37495881,10655250
2018-10-01T00:00:00.000Z,user,1890364,121841196,125239889
2018-10-01T00:00:00.000Z,spider,,44957691,10421903
2018-11-01T00:00:00.000Z,user,1989158,134207081,136479520
2018-11-01T00:00:00.000Z,spider,,47180344,9552187
2018-12-01T00:00:00.000Z,user,2113760,115153022,137781555
2018-12-01T00:00:00.000Z,spider,,45678603,12390161
2019-01-01T00:00:00.000Z,user,2240160,138249527,151523893
2019-01-01T00:00:00.000Z,spider,,46447687,10893201
2019-02-01T00:00:00.000Z,user,1914607,112882588,130282645
2019-02-01T00:00:00.000Z,spider,,51294297,11365628
2019-03-01T00:00:00.000Z,user,2088071,129477238,146661020
2019-03-01T00:00:00.000Z,spider,,50775272,11133153
2019-04-01T00:00:00.000Z,user,2039040,102480170,127636041
2019-04-01T00:00:00.000Z,spider,,39191932,10492526
2019-05-01T00:00:00.000Z,user,2198532,118139802,145259326
2019-05-01T00:00:00.000Z,spider,,32612275,10414650
2019-06-01T00:00:00.000Z,user,1962638,103224124,124599807
2019-06-01T00:00:00.000Z,spider,,35509526,7568076
2019-07-01T00:00:00.000Z,user,2034299,98076170,126758811
2019-07-01T00:00:00.000Z,spider,,55813135,10876976
2019-08-01T00:00:00.000Z,user,2225342,96162030,135725875
2019-08-01T00:00:00.000Z,spider,,35815053,10837818
2019-09-01T00:00:00.000Z,user,2062010,95277365,135139772
2019-09-01T00:00:00.000Z,spider,,32631353,7683096
2019-10-01T00:00:00.000Z,user,2185718,109748906,145900355
2019-10-01T00:00:00.000Z,spider,,37883647,8805037
2019-11-01T00:00:00.000Z,user,2218851,107374787,149026857
2019-11-01T00:00:00.000Z,spider,17,42135740,8312845
2019-12-01T00:00:00.000Z,user,2233860,101649050,142582034
2019-12-01T00:00:00.000Z,spider,728,63135297,10127284
2020-01-01T00:00:00.000Z,user,2448662,117914004,161040767
2020-01-01T00:00:00.000Z,spider,1179,66749175,9568324
2020-02-01T00:00:00.000Z,user,2187788,101591224,141416712
2020-02-01T00:00:00.000Z,spider,1044,51336110,7467386
2020-03-01T00:00:00.000Z,user,2262676,132114235,157247140
2020-03-01T00:00:00.000Z,spider,923,62712122,7901608
