month,total.content
2001-09-01T00:00:00.000Z,1
2001-10-01T00:00:00.000Z,71
2001-11-01T00:00:00.000Z,233
2001-12-01T00:00:00.000Z,87
2002-01-01T00:00:00.000Z,252
2002-02-01T00:00:00.000Z,261
2002-03-01T00:00:00.000Z,378
2002-04-01T00:00:00.000Z,370
2002-05-01T00:00:00.000Z,792
2002-06-01T00:00:00.000Z,381
2002-07-01T00:00:00.000Z,656
2002-08-01T00:00:00.000Z,546
2002-09-01T00:00:00.000Z,1124
2002-10-01T00:00:00.000Z,627
2002-11-01T00:00:00.000Z,285
2002-12-01T00:00:00.000Z,497
2003-01-01T00:00:00.000Z,677
2003-02-01T00:00:00.000Z,1127
2003-03-01T00:00:00.000Z,1485
2003-04-01T00:00:00.000Z,941
2003-05-01T00:00:00.000Z,749
2003-06-01T00:00:00.000Z,670
2003-07-01T00:00:00.000Z,590
2003-08-01T00:00:00.000Z,491
2003-09-01T00:00:00.000Z,629
2003-10-01T00:00:00.000Z,657
2003-11-01T00:00:00.000Z,1130
2003-12-01T00:00:00.000Z,1275
2004-01-01T00:00:00.000Z,3259
2004-02-01T00:00:00.000Z,1986
2004-03-01T00:00:00.000Z,2407
2004-04-01T00:00:00.000Z,1914
2004-05-01T00:00:00.000Z,2042
2004-06-01T00:00:00.000Z,1825
2004-07-01T00:00:00.000Z,1881
2004-08-01T00:00:00.000Z,2017
2004-09-01T00:00:00.000Z,2729
2004-10-01T00:00:00.000Z,3043
2004-11-01T00:00:00.000Z,3492
2004-12-01T00:00:00.000Z,3318
2005-01-01T00:00:00.000Z,4121
2005-02-01T00:00:00.000Z,3115
2005-03-01T00:00:00.000Z,3677
2005-04-01T00:00:00.000Z,4130
2005-05-01T00:00:00.000Z,4128
2005-06-01T00:00:00.000Z,4735
2005-07-01T00:00:00.000Z,3975
2005-08-01T00:00:00.000Z,5825
2005-09-01T00:00:00.000Z,38436
2005-10-01T00:00:00.000Z,17887
2005-11-01T00:00:00.000Z,4204
2005-12-01T00:00:00.000Z,10496
2006-01-01T00:00:00.000Z,53798
2006-02-01T00:00:00.000Z,6043
2006-03-01T00:00:00.000Z,6801
2006-04-01T00:00:00.000Z,7007
2006-05-01T00:00:00.000Z,6872
2006-06-01T00:00:00.000Z,7748
2006-07-01T00:00:00.000Z,12149
2006-08-01T00:00:00.000Z,26842
2006-09-01T00:00:00.000Z,12701
2006-10-01T00:00:00.000Z,8554
2006-11-01T00:00:00.000Z,9031
2006-12-01T00:00:00.000Z,10022
2007-01-01T00:00:00.000Z,11397
2007-02-01T00:00:00.000Z,10599
2007-03-01T00:00:00.000Z,9077
2007-04-01T00:00:00.000Z,9119
2007-05-01T00:00:00.000Z,10754
2007-06-01T00:00:00.000Z,11612
2007-07-01T00:00:00.000Z,11681
2007-08-01T00:00:00.000Z,10612
2007-09-01T00:00:00.000Z,8484
2007-10-01T00:00:00.000Z,7755
2007-11-01T00:00:00.000Z,8284
2007-12-01T00:00:00.000Z,8831
2008-01-01T00:00:00.000Z,9301
2008-02-01T00:00:00.000Z,9481
2008-03-01T00:00:00.000Z,9542
2008-04-01T00:00:00.000Z,9414
2008-05-01T00:00:00.000Z,10182
2008-06-01T00:00:00.000Z,9482
2008-07-01T00:00:00.000Z,8346
2008-08-01T00:00:00.000Z,8400
2008-09-01T00:00:00.000Z,8149
2008-10-01T00:00:00.000Z,8116
2008-11-01T00:00:00.000Z,9022
2008-12-01T00:00:00.000Z,7768
2009-01-01T00:00:00.000Z,9609
2009-02-01T00:00:00.000Z,8953
2009-03-01T00:00:00.000Z,8387
2009-04-01T00:00:00.000Z,7974
2009-05-01T00:00:00.000Z,8152
2009-06-01T00:00:00.000Z,7910
2009-07-01T00:00:00.000Z,7725
2009-08-01T00:00:00.000Z,7442
2009-09-01T00:00:00.000Z,7847
2009-10-01T00:00:00.000Z,7911
2009-11-01T00:00:00.000Z,8330
2009-12-01T00:00:00.000Z,9121
2010-01-01T00:00:00.000Z,8237
2010-02-01T00:00:00.000Z,7836
2010-03-01T00:00:00.000Z,7758
2010-04-01T00:00:00.000Z,7533
2010-05-01T00:00:00.000Z,7556
2010-06-01T00:00:00.000Z,7184
2010-07-01T00:00:00.000Z,7243
2010-08-01T00:00:00.000Z,6969
2010-09-01T00:00:00.000Z,6410
2010-10-01T00:00:00.000Z,11455
2010-11-01T00:00:00.000Z,10427
2010-12-01T00:00:00.000Z,9732
2011-01-01T00:00:00.000Z,8662
2011-02-01T00:00:00.000Z,8202
2011-03-01T00:00:00.000Z,11907
2011-04-01T00:00:00.000Z,7055
2011-05-01T00:00:00.000Z,8291
2011-06-01T00:00:00.000Z,6644
2011-07-01T00:00:00.000Z,7309
2011-08-01T00:00:00.000Z,6991
2011-09-01T00:00:00.000Z,7348
2011-10-01T00:00:00.000Z,6832
2011-11-01T00:00:00.000Z,6981
2011-12-01T00:00:00.000Z,14194
2012-01-01T00:00:00.000Z,12756
2012-02-01T00:00:00.000Z,6053
2012-03-01T00:00:00.000Z,5521
2012-04-01T00:00:00.000Z,5466
2012-05-01T00:00:00.000Z,5522
2012-06-01T00:00:00.000Z,6597
2012-07-01T00:00:00.000Z,7043
2012-08-01T00:00:00.000Z,6746
2012-09-01T00:00:00.000Z,5267
2012-10-01T00:00:00.000Z,5209
2012-11-01T00:00:00.000Z,4722
2012-12-01T00:00:00.000Z,6153
2013-01-01T00:00:00.000Z,6261
2013-02-01T00:00:00.000Z,6338
2013-03-01T00:00:00.000Z,6085
2013-04-01T00:00:00.000Z,4847
2013-05-01T00:00:00.000Z,5505
2013-06-01T00:00:00.000Z,6239
2013-07-01T00:00:00.000Z,8699
2013-08-01T00:00:00.000Z,9480
2013-09-01T00:00:00.000Z,6932
2013-10-01T00:00:00.000Z,5418
2013-11-01T00:00:00.000Z,5854
2013-12-01T00:00:00.000Z,6425
2014-01-01T00:00:00.000Z,7583
2014-02-01T00:00:00.000Z,6920
2014-03-01T00:00:00.000Z,5915
2014-04-01T00:00:00.000Z,5445
2014-05-01T00:00:00.000Z,4716
2014-06-01T00:00:00.000Z,4116
2014-07-01T00:00:00.000Z,4905
2014-08-01T00:00:00.000Z,4933
2014-09-01T00:00:00.000Z,5357
2014-10-01T00:00:00.000Z,6166
2014-11-01T00:00:00.000Z,5414
