page_id,year,month,rank,title,views
3108052,2015,7,45,Joanna Przetakiewicz,42718
2044138,2015,7,48,Robert M,41556
2865738,2015,7,198,Lista odcinków serialu Świat według Kiepskich,23964
672962,2015,7,238,Tadeusz Szymków,22546
5530443,2015,7,243,Reprezentacja Polski w piłce nożnej,22346
3103984,2015,7,273,Ciasteczko,21328
2665958,2015,7,309,Bracia Figo Fagot,19555
705027,2015,7,321,Krzysztof Kruszewski,19141
200401,2015,7,366,Sebastian Riedel,18104
1562436,2015,7,522,Kali (raper),15191
1019846,2015,7,547,Kabaret Limo,14888
112434,2015,7,597,Kabaret Ani Mru-Mru,14288
97207,2015,7,624,Wykaz ras psów agresywnych,14080
777276,2015,7,626,Firma (zespół muzyczny),14065
2552054,2015,7,661,Ewa Błachnio,13650
1119301,2015,7,750,Lista odcinków serialu Miodowe lata,12813
99070,2015,7,763,Wykaz środków odurzających i substancji psychotropowych,12736
119456,2015,7,813,Polska Klasyfikacja Działalności,12329
3263712,2015,7,936,Stefan Pawłowski,11548
672962,2015,8,28,Tadeusz Szymków,59378
4329425,2015,8,62,Andrzej Radomski,40315
1492794,2015,8,83,Barbara Szcześniak,35975
3108052,2015,8,87,Joanna Przetakiewicz,35478
2865738,2015,8,198,Lista odcinków serialu Świat według Kiepskich,25474
715444,2015,8,235,Jacek Zieliński (muzyk),23434
5530443,2015,8,288,Reprezentacja Polski w piłce nożnej,20984
2044138,2015,8,299,Robert M,20736
3103984,2015,8,319,Ciasteczko,20158
304455,2015,8,448,Oddział Zamknięty,17063
2601132,2015,8,491,Piotr Kuryło,16377
119456,2015,8,557,Polska Klasyfikacja Działalności,15524
97207,2015,8,572,Wykaz ras psów agresywnych,15401
1814487,2015,8,600,Linia kolejowa nr 250,15099
1019846,2015,8,603,Kabaret Limo,15069
5209061,2015,8,607,Anna Wesołowska,15032
2665958,2015,8,691,Bracia Figo Fagot,14172
1562436,2015,8,752,Kali (raper),13510
688554,2015,8,780,Robert Kantereit,13225
1462811,2015,8,849,Referendum ogólnokrajowe,12765
564245,2015,8,860,Marek Przybylik,12668
1119301,2015,8,864,Lista odcinków serialu Miodowe lata,12633
121013,2015,8,899,Anna Kalczyńska,12367
2366013,2015,8,914,Poparzeni Kawą Trzy,12297
132836,2015,8,923,Przełomowe bitwy w historii świata,12259
4391671,2015,8,940,Pierwsza miłość,12167
5530443,2015,9,40,Reprezentacja Polski w piłce nożnej,60095
5142645,2015,9,124,Maria Sadowska,37680
672962,2015,9,231,Tadeusz Szymków,28356
2865738,2015,9,288,Lista odcinków serialu Świat według Kiepskich,26058
134786,2015,9,318,Dzień Edukacji Narodowej,24521
1524920,2015,9,325,Rinke Rooyens,24206
4391671,2015,9,364,Pierwsza miłość,23033
3110896,2015,9,423,Aleksander Milwiw-Baron,21528
1814487,2015,9,436,Linia kolejowa nr 250,21153
1462811,2015,9,456,Referendum ogólnokrajowe,20676
30338,2015,9,673,Iloczyn,16922
2366013,2015,9,780,Poparzeni Kawą Trzy,15682
5530443,2015,10,20,Reprezentacja Polski w piłce nożnej,105457
134786,2015,10,25,Dzień Edukacji Narodowej,100114
2383348,2015,10,92,Okręgi wyborcze do Sejmu Rzeczypospolitej Polskiej,46411
5382441,2015,10,138,KORWiN,37917
5142645,2015,10,157,Maria Sadowska,35926
3110896,2015,10,162,Aleksander Milwiw-Baron,35689
881145,2015,10,233,Diana Rudnik,30800
2865738,2015,10,293,Lista odcinków serialu Świat według Kiepskich,28157
4391671,2015,10,496,Pierwsza miłość,20929
3103984,2015,10,595,Ciasteczko,19304
2366013,2015,10,813,Poparzeni Kawą Trzy,16625
1814487,2015,10,830,Linia kolejowa nr 250,16440
1524920,2015,10,848,Rinke Rooyens,16274
30338,2015,10,892,Iloczyn,15822
1104563,2015,10,938,Finansowanie partii politycznych w Polsce,15464
5417420,2015,10,949,Kamienie na szaniec,15402
5530443,2015,11,61,Reprezentacja Polski w piłce nożnej,69692
4216078,2015,11,64,Trybunał Konstytucyjny,68683
5142645,2015,11,205,Maria Sadowska,35830
1814487,2015,11,222,Linia kolejowa nr 250,34586
3110896,2015,11,278,Aleksander Milwiw-Baron,31479
1064794,2015,11,320,Afera gruntowa,29462
2865738,2015,11,331,Lista odcinków serialu Świat według Kiepskich,29056
2784134,2015,11,346,Tomasz Barański,28565
1780281,2015,11,596,Maria Teresa Kiszczak,21295
478648,2015,11,686,Grzyby chronione w Polsce,19771
3870216,2015,11,726,Choroby genetyczne,19321
4391671,2015,11,749,Pierwsza miłość,18983
2366013,2015,11,901,Poparzeni Kawą Trzy,16937
1326951,2015,11,983,Dni wolne od pracy w Polsce,16236
58079,2015,11,985,Lista Macierewicza,16231
4216078,2015,12,3,Trybunał Konstytucyjny,279938
983522,2015,12,28,Ślizg (czasopismo),81790
3551554,2015,12,30,Kortez,75721
1814487,2015,12,51,Linia kolejowa nr 250,61079
4222001,2015,12,68,Jan Góra,52163
132839,2015,12,71,Lech Falandysz,51244
5530443,2015,12,116,Reprezentacja Polski w piłce nożnej,39346
1562436,2015,12,166,Kali (raper),33876
777276,2015,12,214,Firma (zespół muzyczny),30839
2865738,2015,12,228,Lista odcinków serialu Świat według Kiepskich,29932
1856748,2015,12,286,Piotr Tuleja,26787
1550465,2015,12,316,Kolędy polskie,25178
126210,2015,12,371,Marek Zubik,23741
2366013,2015,12,449,Poparzeni Kawą Trzy,21788
4648932,2015,12,487,Lech Morawski,21038
1046936,2015,12,512,Wojciech Jasiński,20650
76215,2015,12,618,Podział administracyjny województwa lubelskiego,18730
4391671,2015,12,688,Pierwsza miłość,17841
3343568,2015,12,690,Ganja Mafia,17794
97207,2015,12,776,Wykaz ras psów agresywnych,16866
3462869,2015,12,801,Sound’n’Grace,16609
2034389,2015,12,810,Cykl Inkwizytorski,16535
4216078,2016,1,108,Trybunał Konstytucyjny,49896
496180,2016,1,162,Danuta Holecka,41348
2865738,2016,1,242,Lista odcinków serialu Świat według Kiepskich,35344
5530443,2016,1,287,Reprezentacja Polski w piłce nożnej,32736
1417459,2016,1,403,Kamil Dąbrowa,27547
881145,2016,1,424,Diana Rudnik,26894
121013,2016,1,489,Anna Kalczyńska,25329
783009,2016,1,491,Andrzej Banasiak,25301
4391671,2016,1,526,Pierwsza miłość,24381
2366013,2016,1,623,Poparzeni Kawą Trzy,22553
1562436,2016,1,627,Kali (raper),22514
3360903,2016,1,637,Piłka ręczna na Letnich Igrzyskach Olimpijskich 2016 – światowe turnieje kwalifikacyjne,22274
3551518,2016,1,768,Kontynentalne kwalifikacje w piłce siatkowej mężczyzn do Letnich Igrzysk Olimpijskich 2016,20459
1814487,2016,1,783,Linia kolejowa nr 250,20292
97207,2016,1,856,Wykaz ras psów agresywnych,19349
1780281,2016,2,26,Maria Teresa Kiszczak,87967
2865738,2016,2,207,Lista odcinków serialu Świat według Kiepskich,33438
5530443,2016,2,327,Reprezentacja Polski w piłce nożnej,26786
461470,2016,2,331,Krystyna Loska,26681
1379920,2016,2,388,Jerzy Błaszczyk,24673
4391671,2016,2,426,Pierwsza miłość,23381
58079,2016,2,436,Lista Macierewicza,23110
3537425,2016,2,451,Pitbull. Nowe porządki,22835
882097,2016,2,495,Strzelanina w Magdalence,21860
2808235,2016,2,658,Wacław Berczyński,19092
1562436,2016,2,667,Kali (raper),18937
1384407,2016,2,700,SB a Lech Wałęsa. Przyczynek do biografii,18307
1435935,2016,2,819,Zabójstwo małżeństwa Jaroszewiczów,17066
441394,2016,2,852,Michał Jagiełło,16796
97207,2016,2,855,Wykaz ras psów agresywnych,16760
783009,2016,2,871,Andrzej Banasiak,16568
4216078,2016,2,900,Trybunał Konstytucyjny,16302
1039763,2016,2,905,Edward Miszczak,16268
5722000,2016,2,959,Maciej Nowak,15697
4216078,2016,3,55,Trybunał Konstytucyjny,69096
5530443,2016,3,66,Reprezentacja Polski w piłce nożnej,64673
2865738,2016,3,198,Lista odcinków serialu Świat według Kiepskich,36478
4297547,2016,3,291,Anna Dąbrowska,30453
1088494,2016,3,303,Jerzy Grzechnik,29643
1379920,2016,3,340,Jerzy Błaszczyk,28128
4391671,2016,3,369,Pierwsza miłość,26947
97207,2016,3,454,Wykaz ras psów agresywnych,24624
1814487,2016,3,511,Linia kolejowa nr 250,23289
3993748,2016,3,546,Krzysztof Zalewski,22496
2374099,2016,3,608,Karol Bedorf,21550
