page_id,year,month,rank,title,edits
3380439,2001,10,1,Embarcadero Delphi,3
6608,2001,10,2,Wielkie twierdzenie Fermata,3
10,2001,10,3,Arytmetyka,2
752,2001,10,4,Czworokąt,2
3274,2001,10,5,Linia łamana,2
5138,2001,10,6,Reakcja chemiczna,2
6606,2001,10,7,Wielokąt,2
13,2001,10,8,ActiveX,1
8,2001,10,9,Aksjomat,1
44832,2001,10,10,Aminokwasy,1
750,2001,10,11,Chemia fizyczna,1
1103,2001,10,12,Dwustronna edycja,1
1513,2001,10,13,Fermat,1
1710,2001,10,14,Granica ciągu,1
1711,2001,10,15,Grupa funkcyjna,1
2449,2001,10,16,Jon,1
2776,2001,10,17,Komponent (informatyka),1
2775,2001,10,18,Kwadrat (ujednoznacznienie),1
3272,2001,10,19,Liczby pierwsze,1
3549,2001,10,20,Masa cząsteczkowa polimerów,1
4474,2001,10,21,Pojęcie pierwotne,1
4477,2001,10,22,Polimeryzacja,1
4473,2001,10,23,Postulat,1
5422,2001,10,24,Symbolika chemiczna,1
6081,2001,10,25,Turbo Pascal,1
6607,2001,10,26,Wielobok,1
6570,2001,10,27,Wolny rodnik,1
4224,2001,11,1,Odmiana pisma,6
1515,2001,11,2,Funkcja zdaniowa,5
3380439,2001,11,3,Embarcadero Delphi,4
1525,2001,11,4,Flauta,4
1713,2001,11,5,S/y Grażyna,4
473,2001,11,6,Barwy chromatyczne,3
474,2001,11,7,Barwy złożone,3
758,2001,11,8,Cele powstania Wikipedii,3
781,2001,11,9,Celuloza,3
1524,2001,11,10,Ciało krystaliczne,3
770,2001,11,11,Ciekły kryształ,3
1522,2001,11,12,Faza gazowa,3
2783,2001,11,13,Kwantyfikator,3
4496,2001,11,14,Para uporządkowana,3
4505,2001,11,15,Przylądek Dobrej Nadziei,3
5457,2001,11,16,Systemy liczbowe,3
5459,2001,11,17,Szrafowanie,3
6094,2001,11,18,Trucizna,3
6085,2001,11,19,Twierdzenie przeciwstawne,3
6633,2001,11,20,Wina francuskie,3
2018,2001,11,21,1957 w informatyce,2
44832,2001,11,22,Aminokwasy,2
16,2001,11,23,Association for Computing Machinery,2
491,2001,11,24,Barwa czarna,2
472,2001,11,25,Barwy achromatyczne,2
480,2001,11,26,Buchtowanie,2
750,2001,11,27,Chemia fizyczna,2
772,2001,11,28,Ciało stałe,2
773,2001,11,29,Ciecz,2
777,2001,11,30,Cydr,2
776,2001,11,31,Cyfra,2
1112,2001,11,32,Destylacja,2
1109,2001,11,33,Dowodzenie (logika),2
1529,2001,11,34,Fermentacja,2
1516,2001,11,35,Forma zdaniowa,2
1716,2001,11,36,Gaz,2
2308,2001,11,37,Izomeria,2
2310,2001,11,38,Izotopy,2
1527,2001,11,39,Jean-François de La Pérouse,2
2797,2001,11,40,Kryształ (ujednoznacznienie),2
3284,2001,11,41,Ligatura (pismo),2
3546,2001,11,42,Masa cząsteczkowa,2
780,2001,11,43,Miejsce aktywne,2
4529,2001,11,44,Parki Narodowe w Polsce,2
4527,2001,11,45,Poliestry,2
4522,2001,11,46,Przedgórze Sudeckie,2
4514,2001,11,47,Płyn,2
1484140,2001,11,48,STS Lwów,2
5427,2001,11,49,Stan,2
5449,2001,11,50,Stan skupienia materii,2
5442,2001,11,51,Stereochemia,2
5463,2001,11,52,Szampan,2
6092,2001,11,53,Toksyczność,2
6083,2001,11,54,Twierdzenie przeciwne,2
6632,2001,11,55,Wieszcz,2
7221,2001,11,56,1795,1
2016,2001,11,57,1947 w informatyce,1
2012,2001,11,58,1971 w informatyce,1
20,2001,11,59,Abisynia,1
28,2001,11,60,Abstract Syntax Notation One,1
32,2001,11,61,Agatha Christie,1
19,2001,11,62,Aksjomat indukcji,1
22,2001,11,63,Alkiny,1
24,2001,11,64,Alkohole,1
33,2001,11,65,Allel,1
21,2001,11,66,Alleny,1
