title,views,pageid,category
Polska,25762735,44895,"Kategoria:Artykuły, które powinna mieć każda Wikipedia (powyżej 30k)"
Polska,25762735,44895,Kategoria:Artykuły z propozycjami tłumaczeń
Polska,25762735,44895,Kategoria:Członkowie Organizacji Narodów Zjednoczonych
Polska,25762735,44895,Kategoria:Hasła kanonu polskiej Wikipedii
Polska,25762735,44895,Kategoria:Państwa członkowskie Unii Europejskiej
Polska,25762735,44895,Kategoria:Państwa należące do NATO
Polska,25762735,44895,Kategoria:Państwa w Europie Środkowej
Polska,25762735,44895,Kategoria:Polska
Polska,25762735,44895,Kategoria:Strony korzystające z podprzypisów
Polska,25762735,44895,Kategoria:Szablon cytowania używa pól opisowych
Polska,25762735,44895,Kategoria:Szablon cytuj do sprawdzenia
Polska,25762735,44895,Kategoria:Szablony cytowania – problemy – cytuj – strona główna
Polska,25762735,,"Kategoria:Artykuły, które powinna mieć każda Wikipedia (powyżej 30k)"
Polska,25762735,,Kategoria:Artykuły z propozycjami tłumaczeń
Polska,25762735,,Kategoria:Członkowie Organizacji Narodów Zjednoczonych
Polska,25762735,,Kategoria:Hasła kanonu polskiej Wikipedii
Polska,25762735,,Kategoria:Państwa członkowskie Unii Europejskiej
Polska,25762735,,Kategoria:Państwa należące do NATO
Polska,25762735,,Kategoria:Państwa w Europie Środkowej
Polska,25762735,,Kategoria:Polska
Polska,25762735,,Kategoria:Strony korzystające z podprzypisów
Polska,25762735,,Kategoria:Szablon cytowania używa pól opisowych
Polska,25762735,,Kategoria:Szablon cytuj do sprawdzenia
Polska,25762735,,Kategoria:Szablony cytowania – problemy – cytuj – strona główna
Biblia,21746464,,Kategoria:Artykuły z brakującymi przypisami od 2015-08
Biblia,21746464,,Kategoria:Artykuły z brakującymi przypisami od 2021-09
Biblia,21746464,,Kategoria:Biblia
Biblia,21746464,,Kategoria:Jezus Chrystus w utworach literackich
Biblia,21746464,,Kategoria:Literatura hebrajska
Elżbieta II,14396728,,Kategoria:Artykuły wymagające uzupełnienia źródeł od 2024-06
Elżbieta II,14396728,,Kategoria:Artykuły z propozycjami tłumaczeń
Elżbieta II,14396728,,Kategoria:Brytyjskie królowe
Elżbieta II,14396728,,Kategoria:Damy Orderu Doskonałości
Elżbieta II,14396728,,Kategoria:Damy Orderu Świętych Olgi i Zofii
Elżbieta II,14396728,,Kategoria:Elżbieta II
Elżbieta II,14396728,,Kategoria:Ludzie roku tygodnika Time
Elżbieta II,14396728,,Kategoria:Ludzie urodzeni w Londynie
Elżbieta II,14396728,,Kategoria:Odznaczeni Canadian Forces Decoration
Elżbieta II,14396728,,Kategoria:Odznaczeni Gwiazdą Wysp Salomona
Elżbieta II,14396728,,Kategoria:Odznaczeni Krzyżem Wielkim Legii Honorowej
Elżbieta II,14396728,,Kategoria:Odznaczeni Krzyżem Wielkim Orderu Zasługi Rzeczypospolitej Polskiej
Elżbieta II,14396728,,Kategoria:Odznaczeni Królewskim Orderem Wiktoriańskim
Elżbieta II,14396728,,Kategoria:Odznaczeni Medalem Koronacyjnym Króla Jerzego VI
Elżbieta II,14396728,,Kategoria:Odznaczeni Medalem Obrony
Elżbieta II,14396728,,Kategoria:Odznaczeni Medalem Srebrnego Jubileuszu Króla Jerzego V
Elżbieta II,14396728,,Kategoria:Odznaczeni Medalem Wojny 1939–1945
Elżbieta II,14396728,,Kategoria:Odznaczeni Odznaką Honorową za Zasługi dla Republiki Austrii
Elżbieta II,14396728,,Kategoria:Odznaczeni Orderem Australii
Elżbieta II,14396728,,Kategoria:Odznaczeni Orderem Avis (Portugalia)
