Date,Republika Zielonego Przylądka,Curaçao
2018-01,22551,4960
2018-02,20088,4015
2018-03,18648,6474
2018-04,15304,4131
2018-05,16017,4209
2018-06,20793,4919
2018-07,24073,5130
2018-08,20587,5424
2018-09,21821,4967
2018-10,20866,4789
2018-11,20681,5160
2018-12,20276,5804
2019-01,22216,6412
2019-02,20603,5483
2019-03,19292,5347
2019-04,11804,3877
2019-05,12443,4447
2019-06,15614,7604
2019-07,18295,5939
2019-08,34271,5042
2019-09,32728,6801
2019-10,16496,6864
2019-11,15918,5952
2019-12,14647,5743
2020-01,18428,11412
2020-02,13301,5938
2020-03,10989,6179
2020-04,7888,7535
2020-05,7726,4814
2020-06,5652,4120
2020-07,7029,4437
2020-08,6579,4986
2020-09,6880,5141
2020-10,6468,5343
2020-11,7657,5062
2020-12,8879,5273
2021-01,14813,5441
2021-02,10721,4138
2021-03,15336,6732
2021-04,15873,7821
2021-05,13452,6303
2021-06,18018,7504
2021-07,18029,6409
2021-08,17484,5988
2021-09,18591,5574
2021-10,20359,6041
2021-11,17381,5295
2021-12,14139,5387
2022-01,21102,5831
2022-02,13575,4844
2022-03,16139,5654
2022-04,12940,5115
2022-05,12287,4868
2022-06,11969,6929
2022-07,15070,6460
2022-08,14212,5523
2022-09,12952,5545
2022-10,13750,4835
2022-11,15068,6508
2022-12,16377,6668
2023-01,20988,6183
2023-02,16314,6594
2023-03,16029,10725
2023-04,15490,5583
2023-05,16950,5670
2023-06,16184,5919
2023-07,16749,7305
2023-08,19702,6385
2023-09,18341,5432
2023-10,20925,5156
2023-11,22426,5927
2023-12,24749,6007
2024-01,36474,6957
2024-02,26349,5917
2024-03,23087,5922
2024-04,19485,5516
2024-05,18349,4974
2024-06,15729,5967
2024-07,20903,9441
2024-08,18287,6516
2024-09,19081,4786
2024-10,20806,4976
2024-11,23368,5073
2024-12,24771,7020
2025-01,29250,7384
2025-02,24407,5723
2025-03,26287,5627
2025-04,18755,5559
2025-05,17160,3798
2025-06,18956,8780
2025-07,22533,7324
2025-08,26900,6670
2025-09,31540,6034
2025-10,42687,13600
2025-11,27507,53420
2025-12,25250,20560
2026-01,28459,10172
2026-02,23050,7314
2026-03,23760,11119
2026-04,21524,18778
2026-05,24934,19030
2026-06,338510,703315
2026-07,176331,24281
2026-08,19500,6829
