Date,Curaçao
2018-01,4960
2018-02,4015
2018-03,6474
2018-04,4131
2018-05,4209
2018-06,4919
2018-07,5130
2018-08,5424
2018-09,4967
2018-10,4789
2018-11,5160
2018-12,5804
2019-01,6412
2019-02,5483
2019-03,5347
2019-04,3877
2019-05,4447
2019-06,7604
2019-07,5939
2019-08,5042
2019-09,6801
2019-10,6864
2019-11,5952
2019-12,5743
2020-01,11412
2020-02,5938
2020-03,6179
2020-04,7535
2020-05,4814
2020-06,4120
2020-07,4437
2020-08,4986
2020-09,5141
2020-10,5343
2020-11,5062
2020-12,5273
2021-01,5441
2021-02,4138
2021-03,6732
2021-04,7821
2021-05,6303
2021-06,7504
2021-07,6409
2021-08,5988
2021-09,5574
2021-10,6041
2021-11,5295
2021-12,5387
2022-01,5831
2022-02,4844
2022-03,5654
2022-04,5115
2022-05,4868
2022-06,6929
2022-07,6460
2022-08,5523
2022-09,5545
2022-10,4835
2022-11,6508
2022-12,6668
2023-01,6183
2023-02,6594
2023-03,10725
2023-04,5583
2023-05,5670
2023-06,5919
2023-07,7305
2023-08,6385
2023-09,5432
2023-10,5156
2023-11,5927
2023-12,6007
2024-01,6957
2024-02,5917
2024-03,5922
2024-04,5516
2024-05,4974
2024-06,5967
2024-07,9441
2024-08,6516
2024-09,4786
2024-10,4976
2024-11,5073
2024-12,7020
2025-01,7384
2025-02,5723
2025-03,5627
2025-04,5559
2025-05,3798
2025-06,8780
2025-07,7324
2025-08,6670
2025-09,6034
2025-10,13600
2025-11,53420
2025-12,20560
2026-01,10172
2026-02,7314
2026-03,11119
2026-04,18778
2026-05,19030
2026-06,703315
2026-07,24281
2026-08,6829
