Date,Elżbieta II
2015-07,38100
2015-08,31146
2015-09,70612
2015-10,37717
2015-11,42881
2015-12,65767
2016-01,47157
2016-02,39678
2016-03,45842
2016-04,104710
2016-05,54903
2016-06,62270
2016-07,43107
2016-08,26362
2016-09,30164
2016-10,39211
2016-11,119627
2016-12,85695
2017-01,140860
2017-02,120094
2017-03,85296
2017-04,61281
2017-05,75653
2017-06,65395
2017-07,77639
2017-08,60220
2017-09,63538
2017-10,43851
2017-11,78564
2017-12,171392
2018-01,144493
2018-02,97617
2018-03,86240
2018-04,134475
2018-05,375064
2018-06,118184
2018-07,99867
2018-08,68493
2018-09,60403
2018-10,107675
2018-11,86502
2018-12,97699
2019-01,156814
2019-02,95459
2019-03,90494
2019-04,101154
2019-05,140605
2019-06,88963
2019-07,73949
2019-08,73525
2019-09,58771
2019-10,65568
2019-11,199955
2019-12,166970
2020-01,198512
2020-02,96712
2020-03,131951
2020-04,153187
2020-05,85875
2020-06,75402
2020-07,59104
2020-08,67302
2020-09,67736
2020-10,95625
2020-11,631869
2020-12,505906
2021-01,323138
2021-02,199731
2021-03,330514
2021-04,932081
2021-05,118044
2021-06,81910
2021-07,82489
2021-08,72238
2021-09,75262
2021-10,93208
2021-11,107871
2021-12,97380
2022-01,108876
2022-02,160475
2022-03,71090
2022-04,95350
2022-05,81374
2022-06,136118
2022-07,64773
2022-08,56130
2022-09,2060640
2022-10,115027
2022-11,159108
2022-12,89680
2023-01,78603
2023-02,46833
2023-03,50690
2023-04,54220
2023-05,226682
2023-06,31620
2023-07,26717
2023-08,30496
2023-09,30704
2023-10,26923
2023-11,54409
2023-12,99082
2024-01,70150
2024-02,52402
2024-03,41690
2024-04,33836
2024-05,28177
2024-06,26740
2024-07,34836
2024-08,26276
2024-09,29725
2024-10,27763
2024-11,32114
2024-12,30819
2025-01,34989
2025-02,31270
2025-03,32749
2025-04,29308
2025-05,21985
2025-06,17903
2025-07,25998
2025-08,26678
2025-09,29825
2025-10,28897
2025-11,28915
2025-12,27559
2026-01,29673
2026-02,41238
2026-03,25981
2026-04,29279
2026-05,22758
2026-06,20851
2026-07,20094
2026-08,26023
