Date,Freddie Mercury
2018-01,32919
2018-02,25397
2018-03,28423
2018-04,30273
2018-05,37553
2018-06,25038
2018-07,44352
2018-08,30343
2018-09,37061
2018-10,78271
2018-11,449113
2018-12,211198
2019-01,194916
2019-02,214954
2019-03,165365
2019-04,75085
2019-05,58533
2019-06,50277
2019-07,52872
2019-08,45240
2019-09,131260
2019-10,85430
2019-11,87686
2019-12,67782
2020-01,52818
2020-02,44863
2020-03,51769
2020-04,50207
2020-05,43144
2020-06,37022
2020-07,30423
2020-08,32078
2020-09,36980
2020-10,33182
2020-11,48119
2020-12,44213
2021-01,51776
2021-02,34205
2021-03,39312
2021-04,37064
2021-05,40983
2021-06,28222
2021-07,28539
2021-08,29883
2021-09,149854
2021-10,93633
2021-11,267298
2021-12,95078
2022-01,89223
2022-02,44844
2022-03,25220
2022-04,30878
2022-05,85157
2022-06,33930
2022-07,40443
2022-08,24178
2022-09,23694
2022-10,24345
2022-11,31850
2022-12,23008
2023-01,47372
2023-02,25496
2023-03,29122
2023-04,29761
2023-05,100721
2023-06,26820
2023-07,36048
2023-08,34590
2023-09,41269
2023-10,25151
2023-11,73888
2023-12,36627
2024-01,39646
2024-02,22182
2024-03,23681
2024-04,77313
2024-05,22061
2024-06,19112
2024-07,16485
2024-08,18593
2024-09,22637
2024-10,19053
2024-11,26886
2024-12,23867
2025-01,23190
2025-02,28138
2025-03,60700
2025-04,19013
2025-05,14599
2025-06,15262
2025-07,18648
2025-08,16869
2025-09,22743
2025-10,22633
2025-11,22206
2025-12,22621
2026-01,19715
2026-02,13823
2026-03,44827
2026-04,14635
2026-05,20408
2026-06,18121
2026-07,14827
2026-08,20686
