Date,Iga Świątek
2018-01,653
2018-02,1014
2018-03,496
2018-04,3007
2018-05,3760
2018-06,8328
2018-07,36928
2018-08,2477
2018-09,6395
2018-10,3673
2018-11,2409
2018-12,3302
2019-01,16784
2019-02,6414
2019-03,2878
2019-04,21265
2019-05,10211
2019-06,16548
2019-07,5133
2019-08,17307
2019-09,2028
2019-10,935
2019-11,1242
2019-12,874
2020-01,14186
2020-02,3070
2020-03,893
2020-04,1805
2020-05,1251
2020-06,1693
2020-07,1202
2020-08,2605
2020-09,7774
2020-10,572375
2020-11,17233
2020-12,11320
2021-01,23791
2021-02,67800
2021-03,27164
2021-04,15187
2021-05,54552
2021-06,75102
2021-07,42576
2021-08,7114
2021-09,17297
2021-10,7917
2021-11,9354
2021-12,6321
2022-01,66418
2022-02,21482
2022-03,78025
2022-04,120751
2022-05,102025
2022-06,251771
2022-07,37087
2022-08,15795
2022-09,155521
2022-10,38265
2022-11,24337
2022-12,14462
2023-01,88435
2023-02,51815
2023-03,29360
2023-04,36341
2023-05,62509
2023-06,270738
2023-07,125497
2023-08,49908
2023-09,40639
2023-10,32484
2023-11,77202
2023-12,20296
2024-01,87152
2024-02,58812
2024-03,77396
2024-04,48437
2024-05,175038
2024-06,240368
2024-07,97073
2024-08,118940
2024-09,40517
2024-10,23714
2024-11,27422
2024-12,15316
2025-01,88222
2025-02,28762
2025-03,28445
2025-04,17945
2025-05,29504
2025-06,59003
2025-07,370899
2025-08,88578
2025-09,69044
2025-10,22683
2025-11,25858
2025-12,14753
2026-01,70226
2026-02,27615
2026-03,27910
2026-04,21060
2026-05,50230
2026-06,139857
2026-07,31837
2026-08,48439
