title,year,month,Zmiana względna,Zmiana bezwzględna
Biblia,2017,3,"9,331904625965858",3484413
Biblia,2016,12,"7,37767077902872",2667150
Katastrofa promu Jan Heweliusz,2025,11,"18,149474719440587",2469185
Biblia,2016,11,"6,011653756675108",2095880
Biblia,2017,2,"5,815669158903259",2013919
Elżbieta II,2022,9,"18,89349302146988",1951574
Biblia,2017,5,"5,100262369091362",1714735
Mistrzostwa Świata w Piłce Nożnej 2022,2022,11,"18,179340249181433",1586108
Mistrzostwa Europy w Piłce Nożnej 2016,2016,6,"14,194074778466696",1569055
Nikodem Skotarczak,2022,1,"30,377700917364212",1549963
Paweł Adamowicz,2019,1,"10,685636255311007",1370574
Władimir Putin,2022,2,"26,586470807536248",1357544
Krzysztof Krawczyk,2021,4,"22,929925366783095",1315222
Biblia,2017,4,"3,9006891419221077",1213072
Ukraina,2022,2,"16,76883208813427",1085481
Olga Tokarczuk,2019,10,"23,623076258973693",1064550
Jeffrey Epstein,2026,2,"12,615830281903492",1035207
Mistrzostwa Europy w Piłce Nożnej 2020,2021,6,"13,418428221204449",1013444
Mistrzostwa Świata w Piłce Nożnej 2018,2018,6,"12,878921638986052",988627
Jeffrey Dahmer,2022,10,"16,290137574473963",926775
NATO,2022,2,"16,62475335472545",913883
Ukraina,2022,3,"14,077987132337766",900251
Mistrzostwa Świata w Piłce Siatkowej Mężczyzn 2018,2018,9,"9,776867678355213",865192
Elżbieta II,2021,4,"8,546017678461384",823015
Donald Trump,2016,11,"13,29159746433029",803319
Kazimierz III Wielki,2018,1,"19,94500424431076",797102
Łukasz Litewka,2026,4,"4,371281756588618",788477
Karol Nawrocki,2025,5,"5,071378600605292",786159
Grzegorz Braun,2023,12,"15,497001374285412",770914
Biblia,2017,1,"2,8430165014413378",770752
Tomasz Mackiewicz,2018,1,"5,1583863000215535",768925
Agnieszka Osiecka,2021,1,"14,286603820168427",767989
Mistrzostwa świata w piłce nożnej mężczyzn,2022,12,"15,031245734711273",767389
Biblia,2016,7,"2,829214533452427",764980
Edward Gierek,2022,4,"18,420782878062518",751172
Katedra Notre-Dame w Paryżu,2019,4,"10,123299332271793",750988
Ed Gein,2025,10,"7,497568588424219",718192
Mistrzostwa Europy w Piłce Nożnej 2024,2024,6,"10,30483194163635",716791
Joanna Kołaczkowska,2025,7,"10,838836149733014",713199
Dzień Matki,2016,5,"7,118814106764309",708717
Agnieszka Woźniak-Starak,2019,8,"11,416510756851078",702909
Katar,2022,11,"17,27630882406896",698715
Palestyna (państwo),2023,10,"17,389234485444614",693966
Mistrzostwa Świata w Piłce Nożnej 2026,2026,6,"10,329457953172511",689970
Wołodymyr Zełenski,2022,2,"11,83328741995955",685240
